Nr.,interaction type,GO Term,GO Term 2,MI Term,kinasefamily,kin_phos,Kinase_Phos,Target,pSite,PMID,Pathway,Ppase family
3546,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT3G20130,,19095804,not specified,
2689,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT5G19010,AT3G20110,,19095804,not specified,
2738,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G20100,,19095804,not specified,
3046,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G20100,,19095804,not specified,
3558,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT3G20100,,19095804,not specified,
2512,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G19670,,19095804,not specified,
2691,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT5G19010,AT3G19520,,19095804,not specified,
2819,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G19520,,19095804,not specified,
3289,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G19520,,19095804,not specified,
372,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G18690,S72,17702678,not specified,
373,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G18690,S108,17702678,not specified,
374,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G18690,S120,17702678,not specified,
375,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G18690,S30,15990873,stress.biotic.plant defence,
376,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G18690,S72,15990873,stress.biotic.plant defence,
4159,interaction,GO:0005515,protein binding,MI:0914,MAPK,kinase,AT4G01370,AT3G18690,,TAIR,not specified,
4629,interaction,GO:0005515,protein binding,MI:0914,MAPK,kinase,AT4G01370,AT3G18690,,23115249,not specified,
3457,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G17600,,19095804,not specified,
1628,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G16770,,22631074,not specified,
1629,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G16770,,22631074,not specified,
1940,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G16770,,17369371,hormone signaling.jasmonic acid,
1985,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G16770,,17369371,hormone signaling.jasmonic acid,
3086,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G16770,,19095804,not specified,
3234,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G16770,,19095804,not specified,
2517,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G16350,,19095804,not specified,
3370,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G16280,,19095804,not specified,
2542,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G15320,,19095804,not specified,
3270,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G15270,,19095804,not specified,
2481,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G15030,,19095804,not specified,
2720,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G15030,,19095804,not specified,
2858,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G15030,,19095804,not specified,
3035,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G15030,,19095804,not specified,
3183,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G15030,,19095804,not specified,
3331,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G15030,,19095804,not specified,
2491,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G15010,,19095804,not specified,
1939,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G14067,,17369371,hormone signaling.jasmonic acid,
1984,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G14067,,17369371,hormone signaling.jasmonic acid,
2631,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G13920,,19095804,not specified,
2417,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G13890,,19095804,not specified,
2953,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G13890,,19095804,not specified,
3451,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G13890,,19095804,not specified,
2357,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G13670,,19095804,not specified,
2656,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT5G19010,AT3G13670,,19095804,not specified,
3560,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT3G13670,,19095804,not specified,
2489,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G12820,,19095804,not specified,
2424,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G12730,,19095804,not specified,
2802,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G12730,,19095804,not specified,
2958,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G12730,,19095804,not specified,
3128,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G12730,,19095804,not specified,
6194,gene regulation,GO:0010468,regulation of gene expression,no,MAPK,kinase,AT2G43790,AT3G12500,,23300166,stress.biotic.reactive oxygen species,
2562,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G12280,,19095804,not specified,
3259,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G12280,,19095804,not specified,
3429,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G12280,,19095804,not specified,
3471,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G12250,,19095804,not specified,
3663,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G18150,AT3G12250,,19095804,not specified,
3337,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G12145,,19095804,not specified,
294,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G11510,,16009969,not specified,
335,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G11510,,16009969,not specified,
2915,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G11510,,19095804,not specified,
3403,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G11510,,19095804,not specified,
2639,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G11280,,19095804,not specified,
3133,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G11090,,19095804,not specified,
2792,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G11030,,19095804,not specified,
3119,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G11030,,19095804,not specified,
3269,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G11030,,19095804,not specified,
3600,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT3G11030,,19095804,not specified,
3408,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G10330,,19095804,not specified,
2449,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G09600,,19095804,not specified,
2622,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G09600,,19095804,not specified,
2827,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G09600,,19095804,not specified,
3507,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G09600,,19095804,not specified,
2572,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G09370,,19095804,not specified,
2530,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G09230,,19095804,not specified,
2970,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G09030,,19095804,not specified,
3136,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G09030,,19095804,not specified,
2508,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G09000,,19095804,not specified,
2642,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G07740,,19095804,not specified,
3021,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G07740,,19095804,not specified,
3174,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G07740,,19095804,not specified,
3328,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G07565,,19095804,not specified,
317,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G07350,,16009969,not specified,
354,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G07350,,16009969,not specified,
2505,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G07340,,19095804,not specified,
332,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G07110,,16009969,not specified,
3341,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G07110,,19095804,not specified,
309,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G06730,,16009969,not specified,
347,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G06730,,16009969,not specified,
3006,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G06730,,19095804,not specified,
3524,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G06730,,19095804,not specified,
2526,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G06640,,19095804,not specified,
2594,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G06590,,19095804,not specified,
2686,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT5G19010,AT3G06590,,19095804,not specified,
2965,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G06590,,19095804,not specified,
3278,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G06590,,19095804,not specified,
2944,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G06490,,19095804,not specified,
3111,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G06490,,19095804,not specified,
3262,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT3G06490,,19095804,not specified,
2435,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G06380,,19095804,not specified,
1938,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G06170,,17369371,hormone signaling.jasmonic acid,
1983,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G06170,,17369371,hormone signaling.jasmonic acid,
3158,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G06120,,19095804,not specified,
2425,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G05840,,19095804,not specified,
2807,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G05840,,19095804,not specified,
3466,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G05840,,19095804,not specified,
3467,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G05545,,19095804,not specified,
3426,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G04670,,19095804,not specified,
316,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G04400,,16009969,not specified,
2850,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G04400,,19095804,not specified,
2350,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G03450,,19095804,not specified,
2654,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT5G19010,AT3G03450,,19095804,not specified,
2599,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G03030,,19095804,not specified,
2585,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G03000,,19095804,not specified,
2353,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G02550,,19095804,not specified,
3360,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G02550,,19095804,not specified,
2428,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT3G01530,,19095804,not specified,
2597,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT3G01530,,19095804,not specified,
2810,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT3G01530,,19095804,not specified,
2969,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT3G01530,,19095804,not specified,
3135,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT3G01530,,19095804,not specified,
3518,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT3G01080,,19095804,not specified,
2948,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G47630,,19095804,not specified,
3116,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT2G47630,,19095804,not specified,
3266,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G47630,,19095804,not specified,
580,protein regulation,GO:0065009,regulation of molecular function,no,MAPK,kinase,AT2G43790,AT2G47400,,19816138,stress.biotic.reactive oxygen species,
586,protein regulation,GO:0065009,regulation of molecular function,no,MAPK,kinase,AT2G43790,AT2G47390,,19816138,stress.biotic.reactive oxygen species,
3486,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G47260,,19095804,not specified,
3526,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G47210,,19095804,not specified,
2912,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G47190,,19095804,not specified,
3085,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT2G47190,,19095804,not specified,
3233,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G47190,,19095804,not specified,
44,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G47060,,21276203,stress.biotic.reactive oxygen species,
45,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G47060,,21276203,stress.biotic.reactive oxygen species,
2330,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT2G46830,,19095804,not specified,
2718,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT2G46830,,19095804,not specified,
2854,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G46830,,19095804,not specified,
3032,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT2G46830,,19095804,not specified,
3181,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G46830,,19095804,not specified,
3541,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT2G46830,,19095804,not specified,
3595,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT2G46500,,19095804,not specified,
2506,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G46400,,19095804,not specified,
340,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G46020,,16009969,not specified,
3533,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G46020,,19095804,not specified,
2358,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT2G45910,,19095804,not specified,
3372,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G45910,,19095804,not specified,
3645,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G18150,AT2G45910,,19095804,not specified,
2618,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G45680,,19095804,not specified,
2696,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT5G19010,AT2G45680,,19095804,not specified,
2519,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G45560,,19095804,not specified,
2636,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G45420,,19095804,not specified,
2565,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G45410,,19095804,not specified,
2782,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT2G45410,,19095804,not specified,
3593,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT2G45410,,19095804,not specified,
3244,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G45190,,19095804,not specified,
2805,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT2G44930,,19095804,not specified,
3131,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT2G44930,,19095804,not specified,
3607,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT2G44930,,19095804,not specified,
2444,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT2G44840,,19095804,not specified,
2978,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G44840,,19095804,not specified,
3294,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G44840,,19095804,not specified,
2593,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G44630,,19095804,not specified,
3671,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G18150,AT2G43980,,19095804,not specified,
1752,autophosphorylation,GO:0046777,protein autophosphorylation,no,MAPK,kinase,AT2G43790,AT2G43790,,22704933,hormone signaling.ABA - germination,
2415,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT2G43790,,19095804,not specified,
2794,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT2G43790,,19095804,not specified,
3601,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT2G43790,,19095804,not specified,
3661,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G18150,AT2G43790,,19095804,not specified,
4115,interaction,GO:0005515,protein binding,MI:0914,MAPK,kinase,AT1G10210,AT2G43790,,TAIR,not specified,
5044,autophosphorylation,GO:0046777,protein autophosphorylation,no,MAPK,kinase,AT2G43790,AT2G43790,,23257164,stress.abiotic.drought and osmotic,
5048,autophosphorylation,GO:0046777,protein autophosphorylation,no,MAPK,kinase,AT2G43790,AT2G43790,,23257164,development.germination,
1937,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G43680,,17369371,hormone signaling.jasmonic acid,
1982,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G43680,,17369371,hormone signaling.jasmonic acid,
1936,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G42640,,17369371,hormone signaling.jasmonic acid,
1981,motif phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G42640,,17369371,hormone signaling.jasmonic acid,
2465,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT2G42300,,19095804,not specified,
2416,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT2G41630,,19095804,not specified,
2795,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT2G41630,,19095804,not specified,
2951,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G41630,,19095804,not specified,
3449,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G41630,,19095804,not specified,
3602,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT2G41630,,19095804,not specified,
2897,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G41130,,19095804,not specified,
3218,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G41130,,19095804,not specified,
2566,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G41100,,19095804,not specified,
4120,interaction,GO:0005515,protein binding,MI:0914,MAPK,kinase,AT1G53510,AT2G41090,,TAIR,not specified,
2603,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G59790,AT2G40740,,19095804,not specified,
3476,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G40740,,19095804,not specified,
3612,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G18170,AT2G40740,,19095804,not specified,
289,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G40510,,16009969,not specified,
331,phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G40510,,16009969,not specified,
2968,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G40510,,19095804,not specified,
3472,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G40510,,19095804,not specified,
2391,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G10210,AT2G40290,,19095804,not specified,
2672,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT5G19010,AT2G40290,,19095804,not specified,
2769,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT1G59580,AT2G40290,,19095804,not specified,
2917,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G40290,,19095804,not specified,
3090,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT2G40290,,19095804,not specified,
3238,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G40290,,19095804,not specified,
3204,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G11330,AT2G40260,,19095804,not specified,
2982,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT3G45640,AT2G40220,,19095804,not specified,
3148,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT4G01370,AT2G40220,,19095804,not specified,
3498,peptidearray phosphorylation,GO:0006468,protein phosphorylation,MI:0217,MAPK,kinase,AT2G43790,AT2G40220,,19095804,not specified,
